Tracks that transit the surface 2012,,,
,,,
Track No. ,Eruption Date,Location,Certainty 
64,,Upper Middle,70.00%
78,,Upper Middle,Computer
98,,Lower Middle,Computer
106,,Lower middle,80.00%
135,,Upper middle,65.00%
146,,Lower Middle Computer,
161,,Lower Middle,60.00%
166,,Upper Middle,Computer
216,,Lower Middle,70.00%
354,,Lower,Computer
361,,Lower Middle,60.00%
362,,Lower,Computer
366,,Upper ,Computer
413,,Lower Middle,70.00%
414,,Middle,Computer
491,,Lower,Computer
553,,Upper,Computer
573,,Lower,Computer
575,,Lower,Computer
592,,Lower Middle,75.00%
622,,Upper Middle,65.00%
743,,Lower Middle,70.00%
879,,Lower,Computer
894,,Lower,Computer
901,,Lower Middle,70.00%
959,,Lower,Computer
978,,Lower,Computer
983,,Lower Middle,75.00%
1025,,Lower Middle,75.00%
1026,,Middle,70.00%
1058,,,
1063,,,
1078,,,
1092,,,
1157,,,
1167,,,
1181,,,
1194,,,
1225,,,
1227,,,
1342,,,
1357,,,
1351,,,
1426,,,
1445,,,
1458,,,
1494,,,
1505,,,
1525,,,
1546,,,
1557,,,
1575,,,
1605,,,
1680,,,
1684,,,
1695,,,
1705,,,
1709,,,
1717,,,
1734,,,
1739,,,
1834,,,
1880,,,
1912,,,
1945,,,
1983,,,
2047,,,
2048,,,
2052,,,
2176,,,
2185,,,
2206,,,
2222,,,
2241,,,
2404,,,
2407,,,
2416,,,
2479,,,
2490,,,
2571,,,
2623,,,
2797,,,
2813,,,
2894,,,
2904,,,
2946,,,
